part_id,category,current_stock,reserved_quantity,min_stock,max_stock,weekly_consumption_derived,available_stock,net_position,suggested_quantity,risk,reason
PART_001,Suspension,10,12,21,50,8.29,-2.0,-2.0,52.0,High,Stock is over-reserved by 2 unit(s) (reserved exceeds on-hand quantity) — treat as High risk
PART_002,Transmission,91,3,18,107,5.75,88.0,88.0,0.0,Low,Available stock covers 15.3 week(s) of demand; net position is above minimum — no reorder needed
PART_003,Electrical,56,3,25,50,4.83,53.0,53.0,0.0,Low,Available stock covers 11.0 week(s) of demand; net position is above minimum — no reorder needed
PART_004,Transmission,88,5,7,83,8.29,83.0,83.0,0.0,Low,Available stock covers 10.0 week(s) of demand; net position is above minimum — no reorder needed
PART_005,Transmission,49,18,5,145,2.3,31.0,31.0,0.0,Low,Available stock covers 13.5 week(s) of demand; net position is above minimum — no reorder needed
PART_006,Brake,22,11,24,97,8.52,11.0,11.0,86.0,Medium,Available stock covers 1.3 week(s) of demand; net position (11) is below minimum (24)
PART_007,Electrical,30,6,25,138,2.07,24.0,24.0,114.0,Low,Available stock covers 11.6 week(s) of demand; net position (24) is below minimum (25)
PART_008,Electrical,93,9,27,50,5.52,84.0,84.0,0.0,Low,Available stock covers 15.2 week(s) of demand; net position is above minimum — no reorder needed
PART_009,Electrical,41,18,5,65,8.06,23.0,23.0,0.0,Medium,Available stock covers 2.9 week(s) of demand; net position is above minimum — no reorder needed
PART_010,Transmission,98,6,7,110,11.28,92.0,92.0,0.0,Low,Available stock covers 8.2 week(s) of demand; net position is above minimum — no reorder needed
PART_011,Suspension,6,2,22,113,8.06,4.0,4.0,109.0,High,Available stock covers 0.5 week(s) of demand; net position (4) is below minimum (22)
PART_012,Electrical,15,12,29,112,11.05,3.0,3.0,109.0,High,Available stock covers 0.3 week(s) of demand; net position (3) is below minimum (29)
PART_013,Transmission,89,12,14,118,8.29,77.0,77.0,0.0,Low,Available stock covers 9.3 week(s) of demand; net position is above minimum — no reorder needed
